ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
CAVYOP.Co(ii).pdb,O,N,O,N,N,N,2.0986170768737793,2.180413246154785,2.191533327102661,2.1980676651000977,2.2218410968780518,2.2267682552337646,2
XOVXOW.Co(ii).pdb,O,O,O,O,N,NE,2.042649984359741,2.089245319366455,2.1039509773254395,2.1244187355041504,2.1714184284210205,100.0,2
FEXMIH.Co(ii).pdb,O,O,N,N,O,O,2.020658254623413,2.0215656757354736,2.117539882659912,2.1175408363342285,2.1234912872314453,2.1234915256500244,2
MUZMAY.Co(ii).pdb,O,O,O,N,O,N,2.064805507659912,2.0784852504730225,2.1117899417877197,2.1442883014678955,2.1638071537017822,2.188235282897949,2
GUGRAE.Co(ii).pdb,O,O,O,O,O,O,1.9844015836715698,2.005326271057129,2.063448429107666,2.082350492477417,2.2759602069854736,2.306513786315918,2
AFAXOU.Co(ii).pdb,O,O,N,N,O,NE,2.0595614910125732,2.104497194290161,2.128490686416626,2.135230541229248,2.173233985900879,100.0,2
XULVUV03.Co(ii).pdb,O,O,N,N,N,N,1.8989627361297607,1.8989627361297607,1.9237778186798096,1.9238907098770142,1.9386826753616333,1.9392353296279907,2
GESPAW.Co(ii).pdb,C,C,CL,CL,NE,NE,2.0619308948516846,2.068789482116699,2.2833409309387207,2.292292833328247,100.0,100.0,2
TERPUC.Co(ii).pdb,O,O,N,N,N,N,2.071345806121826,2.071345806121826,2.1522748470306396,2.1522748470306396,2.152381658554077,2.152381658554077,2
GUSVIA.Co(ii).pdb,O,O,O,N,N,N,2.050616979598999,2.0794484615325928,2.102842092514038,2.136634111404419,2.1510069370269775,2.166602373123169,2
KEWXOB.Co(ii).pdb,O,O,N,N,O,O,2.0098907947540283,2.0107533931732178,2.093200922012329,2.093618154525757,2.1615867614746094,2.162654399871826,2
COSBOC.Co(ii).pdb,O,O,O,N,O,N,2.031383991241455,2.0646185874938965,2.069580554962158,2.1231584548950195,2.1387906074523926,2.1794917583465576,2
UWABOK.Co(ii).pdb,O,O,N,N,N,N,2.0928900241851807,2.093660593032837,2.095391035079956,2.096015691757202,2.1685144901275635,2.1690595149993896,2
MAXGUN.Co(ii).pdb,N,N,N,N,N,N,2.1693642139434814,2.1693642139434814,2.1825385093688965,2.1825385093688965,2.1836819648742676,2.1836819648742676,2
COWLOQ.Co(ii).pdb,O,O,O,N,O,NE,2.018852710723877,2.0201921463012695,2.033675193786621,2.0635085105895996,2.0740671157836914,100.0,2
SABLEN.Co(ii).pdb,O,O,O,O,N,N,2.0360805988311768,2.0411856174468994,2.1021955013275146,2.1211001873016357,2.1284079551696777,2.133617877960205,2
VAQBEU01.Co(ii).pdb,O,O,O,O,N,NE,2.0933444499969482,2.09462571144104,2.101962089538574,2.1021547317504883,2.1504199504852295,100.0,2
CEBRAC.Co(ii).pdb,O,O,O,O,N,N,2.0572850704193115,2.0822806358337402,2.1268391609191895,2.155857563018799,2.1763358116149902,2.202857494354248,2
HIHGAH.Co(ii).pdb,N,N,CL,CL,NE,NE,2.022016763687134,2.0255908966064453,2.2460882663726807,2.272094488143921,100.0,100.0,2
WOKTOG.Co(ii).pdb,N,N,N,N,N,N,1.8734835386276245,1.9196325540542603,2.0061707496643066,2.0088539123535156,2.156698703765869,2.160428762435913,2
SIYHEQ.Co(ii).pdb,O,S,S,S,NE,NE,1.866402268409729,2.314241409301758,2.3333499431610107,2.338772773742676,100.0,100.0,2
RASXOA.Co(ii).pdb,O,O,S,S,NE,NE,1.858997106552124,1.8686106204986572,2.137176275253296,2.1455607414245605,100.0,100.0,2
TENKEE.Co(ii).pdb,N,N,N,N,N,N,2.1109161376953125,2.1112070083618164,2.1249420642852783,2.1320347785949707,2.1372592449188232,2.143162965774536,2
COETDL.Co(ii).pdb,O,O,O,O,CL,CL,2.0706043243408203,2.0706043243408203,2.1361494064331055,2.1361494064331055,2.4173169136047363,2.4173169136047363,2
IWOVUL01.Co(ii).pdb,O,O,O,O,O,O,2.0322000980377197,2.0322623252868652,2.057913064956665,2.05899715423584,2.1825695037841797,2.183088779449463,2
QAWTAL.Co(ii).pdb,O,O,N,N,O,O,2.0195367336273193,2.070066213607788,2.073132038116455,2.0782089233398438,2.098729372024536,2.234699249267578,2
DOJVIJ.Co(ii).pdb,N,CL,CL,S,S,NE,2.1129305362701416,2.3614044189453125,2.413010358810425,2.4885287284851074,2.498059034347534,100.0,2
ZACHAM.Co(ii).pdb,O,O,CL,CL,NE,NE,1.9797316789627075,1.9836424589157104,2.221116304397583,2.2256810665130615,100.0,100.0,2
SEQFIE.Co(ii).pdb,N,N,CL,CL,NE,NE,2.0367722511291504,2.037073850631714,2.237109899520874,2.2374939918518066,100.0,100.0,2
PATZOL.Co(ii).pdb,N,N,N,N,NE,NE,1.940528154373169,1.9416959285736084,1.9517234563827515,1.9517523050308228,100.0,100.0,2
PIYMES.Co(ii).pdb,O,O,O,O,O,O,2.05545973777771,2.0561366081237793,2.168510913848877,2.168511152267456,2.226487874984741,2.227109432220459,2
BUGJOE.Co(ii).pdb,O,O,N,N,O,O,1.9469294548034668,1.9905147552490234,2.05546236038208,2.0823113918304443,2.215202569961548,2.2415380477905273,2
QOYMAU01.Co(ii).pdb,O,O,O,O,N,N,2.0862553119659424,2.08640193939209,2.0945088863372803,2.0945091247558594,2.125307321548462,2.125603199005127,2
PIVCOO.Co(ii).pdb,N,N,N,CL,NE,NE,2.066911458969116,2.0785553455352783,2.079007863998413,2.204113006591797,100.0,100.0,2
RALDUH.Co(ii).pdb,O,O,N,N,O,NE,1.9994088411331177,2.122288703918457,2.1631224155426025,2.1758241653442383,2.2837371826171875,100.0,2
TUZWUJ02.Co(ii).pdb,O,O,O,NE,NE,NE,2.0906383991241455,2.0906386375427246,2.1005818843841553,100.0,100.0,100.0,2
KIHDEK.Co(ii).pdb,N,N,N,N,N,NE,2.086149215698242,2.1190598011016846,2.1476948261260986,2.1528236865997314,2.1643593311309814,100.0,2
WETHIP.Co(ii).pdb,N,N,N,N,O,O,2.073288679122925,2.0838587284088135,2.0920767784118652,2.102034091949463,2.1569268703460693,2.1748123168945312,2
SAZZID04.Co(ii).pdb,CL,CL,CL,CL,NE,NE,2.2464077472686768,2.2467854022979736,2.286283493041992,2.2869045734405518,100.0,100.0,2
EMOPED.Co(ii).pdb,O,O,O,N,N,O,2.03623366355896,2.060529947280884,2.0774242877960205,2.144976854324341,2.149750232696533,2.1816985607147217,2
JIZQIU.Co(ii).pdb,N,N,N,N,NE,NE,1.9748681783676147,1.9766569137573242,2.1835756301879883,2.2075765132904053,100.0,100.0,2
LUCKOJ.Co(ii).pdb,O,N,N,N,N,NE,2.021716833114624,2.0487732887268066,2.050204277038574,2.099212169647217,2.1307191848754883,100.0,2
ADOFIL.Co(ii).pdb,O,O,N,O,P,P,2.044215679168701,2.112596273422241,2.1838958263397217,2.270695447921753,2.4641008377075195,2.4818341732025146,2
QUFVUJ.Co(ii).pdb,O,O,N,N,NE,NE,1.9651325941085815,1.9871861934661865,2.010213851928711,2.0260279178619385,100.0,100.0,2
JUWPEY.Co(ii).pdb,N,N,N,N,C,NE,1.9114627838134766,1.9180256128311157,1.925553560256958,2.0676138401031494,2.470571994781494,100.0,2
KATHEU.Co(ii).pdb,N,N,CL,CL,NE,NE,2.028020143508911,2.0367701053619385,2.2213144302368164,2.24841046333313,100.0,100.0,2
POQVOH.Co(ii).pdb,N,N,N,O,O,N,2.062370538711548,2.063246250152588,2.0979604721069336,2.1490228176116943,2.1816365718841553,2.185344934463501,2
BISNEZ.Co(ii).pdb,O,O,N,N,NE,NE,1.922120213508606,1.9316916465759277,1.956191062927246,1.9774843454360962,100.0,100.0,2
YUTGEZ.Co(ii).pdb,C,C,C,C,C,C,1.9661099910736084,1.966110110282898,1.9867165088653564,1.9876229763031006,1.991754412651062,1.9923468828201294,2
DULWUE.Co(ii).pdb,N,O,N,O,O,O,2.0225515365600586,2.075989007949829,2.0890605449676514,2.095985174179077,2.1662919521331787,2.2234444618225098,2
JAXTOR.Co(ii).pdb,O,O,N,O,N,O,2.0214357376098633,2.0443966388702393,2.1145482063293457,2.1441240310668945,2.176975727081299,2.215115547180176,2
BUZJOW.Co(ii).pdb,O,N,O,N,O,N,1.944016695022583,2.071101427078247,2.1149518489837646,2.1270651817321777,2.1704535484313965,2.266277551651001,2
GAGZEX.Co(ii).pdb,O,O,O,O,O,O,2.0060791969299316,2.00757098197937,2.081371545791626,2.086620569229126,2.149691343307495,2.1535987854003906,2
SUVLIF.Co(ii).pdb,N,N,CL,CL,NE,NE,2.0000360012054443,2.014770984649658,2.221320629119873,2.239142894744873,100.0,100.0,2
TONCOR.Co(ii).pdb,N,N,N,N,N,N,2.064492702484131,2.0800974369049072,2.1903083324432373,2.1919093132019043,2.264577865600586,2.293667793273926,2
LEWQAH.Co(ii).pdb,O,O,O,O,O,O,2.040752410888672,2.0422720909118652,2.084958791732788,2.086348533630371,2.1058361530303955,2.131946325302124,2
EXISOV.Co(ii).pdb,N,N,O,O,N,N,2.054281234741211,2.054835557937622,2.136589288711548,2.1371395587921143,2.1773617267608643,2.177464246749878,2
ZEKJUX.Co(ii).pdb,O,O,O,O,O,O,2.0567731857299805,2.0656790733337402,2.0965704917907715,2.096979856491089,2.1348588466644287,2.154344081878662,2
FATJEP.Co(ii).pdb,N,N,CL,CL,S,S,2.2468080520629883,2.2468080520629883,2.431185245513916,2.431185245513916,2.485090732574463,2.485090732574463,2
HABYIU.Co(ii).pdb,N,N,N,N,N,N,2.18137264251709,2.1816859245300293,2.1856722831726074,2.186995267868042,2.2116191387176514,2.211911201477051,2
SEPLUX.Co(ii).pdb,O,O,N,O,N,O,2.0398240089416504,2.1152665615081787,2.1152899265289307,2.153079032897949,2.1739962100982666,2.287200689315796,2
FUMNEG.Co(ii).pdb,O,O,O,O,N,N,2.0511527061462402,2.0542197227478027,2.1173503398895264,2.1217119693756104,2.176164388656616,2.2169976234436035,2
XANHIE.Co(ii).pdb,N,N,N,N,N,N,2.0442276000976562,2.113985061645508,2.1248486042022705,2.1401174068450928,2.1408066749572754,2.1567580699920654,2
TAPVEM.Co(ii).pdb,O,O,N,N,O,NE,1.9957187175750732,2.0024657249450684,2.0525567531585693,2.0568673610687256,2.48307466506958,100.0,2
SARSUA05.Co(ii).pdb,N,N,N,N,N,N,1.9000200033187866,1.9000204801559448,2.0032098293304443,2.0032098293304443,2.05106258392334,2.05106258392334,2
YARMUD.Co(ii).pdb,C,C,C,C,C,S,2.0749635696411133,2.079925298690796,2.0817558765411377,2.0914933681488037,2.095670223236084,2.2542166709899902,2
NUYCUI.Co(ii).pdb,N,N,N,N,N,N,1.8813631534576416,1.881721019744873,1.8851314783096313,1.885361909866333,1.890175223350525,1.8914794921875,2
DASROG.Co(ii).pdb,CL,CL,CL,CL,NE,NE,2.2753825187683105,2.2780628204345703,2.2787647247314453,2.2866833209991455,100.0,100.0,2
NEPNEB.Co(ii).pdb,O,O,N,O,N,O,2.0538337230682373,2.0566022396087646,2.11049222946167,2.12298583984375,2.142547369003296,2.173771381378174,2
CEBVAH.Co(ii).pdb,O,O,O,O,O,O,2.0004613399505615,2.0132410526275635,2.0171713829040527,2.0375988483428955,2.16715931892395,2.2439725399017334,2
FUZNIZ.Co(ii).pdb,O,O,O,O,O,O,2.0525858402252197,2.0532689094543457,2.063356637954712,2.0637805461883545,2.1075544357299805,2.1078498363494873,2
CIJJEN07.Co(ii).pdb,O,O,O,O,NE,NE,2.105797052383423,2.105797052383423,2.10685658454895,2.10685658454895,100.0,100.0,2
XACPUM.Co(ii).pdb,F,O,O,O,O,NE,2.0403025150299072,2.0501596927642822,2.050598382949829,2.1765100955963135,2.1772756576538086,100.0,2
WIRLAM.Co(ii).pdb,N,N,N,N,N,N,1.9510018825531006,1.962768316268921,1.9651926755905151,1.9668309688568115,1.9743541479110718,1.9746447801589966,2
WEJROU.Co(ii).pdb,C,C,C,C,C,C,2.02762508392334,2.02972149848938,2.032890558242798,2.0375282764434814,2.040414810180664,2.0409908294677734,2
KOLJIG.Co(ii).pdb,O,O,O,O,NE,NE,2.0840439796447754,2.1222732067108154,2.1244890689849854,2.125338077545166,100.0,100.0,2
FEMHEN.Co(ii).pdb,O,O,O,N,N,N,1.864285945892334,1.874198317527771,1.9334012269973755,1.9485293626785278,1.9540616273880005,1.9889479875564575,2
THETCO01.Co(ii).pdb,O,O,CL,CL,NE,NE,2.061170816421509,2.061170816421509,2.4147450923919678,2.4147450923919678,100.0,100.0,2
YUPGAS.Co(ii).pdb,O,O,N,NE,NE,NE,2.0339863300323486,2.071436643600464,2.1184098720550537,100.0,100.0,100.0,2
GEHZOL02.Co(ii).pdb,O,O,O,O,N,N,2.0837619304656982,2.084956169128418,2.1057887077331543,2.1060452461242676,2.1889259815216064,2.1892454624176025,2
UWISUP.Co(ii).pdb,N,N,CL,CL,NE,NE,2.005812406539917,2.0607171058654785,2.2185635566711426,2.249950408935547,100.0,100.0,2
CEFDIC.Co(ii).pdb,N,N,O,O,N,N,2.079362392425537,2.079362392425537,2.1025424003601074,2.1025428771972656,2.1404452323913574,2.1404452323913574,2
TUSQAB02.Co(ii).pdb,N,N,B,B,NE,NE,2.032702922821045,2.05954647064209,2.3785524368286133,2.382824182510376,100.0,100.0,2
DOCVOJ.Co(ii).pdb,N,N,N,B,B,NE,2.0544607639312744,2.2582614421844482,2.280491590499878,2.388657331466675,2.4009203910827637,100.0,2
RAZXIA.Co(ii).pdb,O,O,NE,NE,NE,NE,1.9859155416488647,1.9859155416488647,100.0,100.0,100.0,100.0,2
TAVVEU.Co(ii).pdb,CL,N,S,S,S,NE,2.263106107711792,2.2876384258270264,2.389422655105591,2.3976006507873535,2.4042248725891113,100.0,2
KUNKIO.Co(ii).pdb,O,O,O,O,NE,NE,2.069166898727417,2.069167137145996,2.3517746925354004,2.3517751693725586,100.0,100.0,2
DELPOA.Co(ii).pdb,CL,CL,CL,CL,NE,NE,2.2722835540771484,2.273038387298584,2.2753732204437256,2.275373697280884,100.0,100.0,2
DIJQET.Co(ii).pdb,O,O,N,N,O,O,2.054710865020752,2.0558667182922363,2.080406427383423,2.112377643585205,2.1200385093688965,2.169072151184082,2
HILQAW.Co(ii).pdb,N,N,N,N,N,N,2.0371015071868896,2.048305034637451,2.1426446437835693,2.1637675762176514,2.179551601409912,2.1801910400390625,2
QOSPAQ.Co(ii).pdb,N,CL,CL,CL,NE,NE,2.060995578765869,2.224649667739868,2.260698080062866,2.2826809883117676,100.0,100.0,2
GALXEA.Co(ii).pdb,N,P,P,CL,CL,NE,1.9464879035949707,2.183938980102539,2.1882572174072266,2.219715118408203,2.385671615600586,100.0,2
LICBIJ.Co(ii).pdb,O,O,O,O,O,O,2.0546255111694336,2.0551977157592773,2.128246307373047,2.1293344497680664,2.154104471206665,2.154914617538452,2
LOPXOE.Co(ii).pdb,O,O,O,O,O,O,1.9361814260482788,1.944836139678955,2.0642309188842773,2.071753978729248,2.092615842819214,2.0941812992095947,2
ADIDEA.Co(ii).pdb,O,O,N,O,N,N,1.9235490560531616,1.9244621992111206,1.9296762943267822,1.9375405311584473,1.937744379043579,1.9436804056167603,2
WABJIT.Co(ii).pdb,O,O,N,N,N,N,2.1033496856689453,2.1033506393432617,2.104393720626831,2.10439395904541,2.124767303466797,2.124767780303955,2
EXERAB.Co(ii).pdb,N,O,O,CL,NE,NE,2.0415351390838623,2.1083197593688965,2.1083202362060547,2.2899999618530273,100.0,100.0,2
MIRSIR.Co(ii).pdb,O,O,N,N,N,N,2.0466930866241455,2.0945358276367188,2.1340296268463135,2.1403136253356934,2.1489577293395996,2.1719706058502197,2
SOJTEQ03.Co(ii).pdb,O,O,O,N,O,NE,2.0745327472686768,2.074625015258789,2.149043560028076,2.188000202178955,2.430509090423584,100.0,2
EZULAM03.Co(ii).pdb,O,O,N,N,NE,NE,2.0839996337890625,2.13700008392334,2.182755470275879,2.182755470275879,100.0,100.0,2
KAYXIV.Co(ii).pdb,C,C,C,C,C,C,1.9988843202590942,2.012359619140625,2.0713863372802734,2.099069356918335,2.112828254699707,2.1385979652404785,2
AROCEP.Co(ii).pdb,O,O,O,O,N,N,2.0704338550567627,2.0707297325134277,2.1177215576171875,2.1183815002441406,2.1199216842651367,2.1205272674560547,2
ELUGEA.Co(ii).pdb,O,N,N,O,O,O,2.0623462200164795,2.0755581855773926,2.121312141418457,2.143542528152466,2.155086040496826,2.195826292037964,2
LODYEI.Co(ii).pdb,C,C,C,C,C,C,1.7976866960525513,1.906857967376709,2.074934720993042,2.0948078632354736,2.1006901264190674,2.11795973777771,2
QAWSIS.Co(ii).pdb,O,N,N,O,O,O,2.0149385929107666,2.0758111476898193,2.0759825706481934,2.0793018341064453,2.099966526031494,2.2455992698669434,2
LUTFOX.Co(ii).pdb,CL,N,S,S,S,NE,2.2552027702331543,2.2636704444885254,2.3881022930145264,2.3909778594970703,2.411842107772827,100.0,2
SIXROH.Co(ii).pdb,O,O,N,O,N,O,2.0926311016082764,2.0929782390594482,2.1184847354888916,2.124232769012451,2.1306889057159424,2.141042470932007,2
ISOCOI.Co(ii).pdb,O,O,O,NE,NE,NE,2.095379114151001,2.130265235900879,2.1858057975769043,100.0,100.0,100.0,2
SIXPUN.Co(ii).pdb,O,O,O,O,NE,NE,2.0398406982421875,2.0398406982421875,2.1776201725006104,2.1776201725006104,100.0,100.0,2
IBIYAX.Co(ii).pdb,N,O,O,O,O,N,0.06499862670898438,1.8655232191085815,1.8655234575271606,1.8668103218078613,1.866810917854309,1.9373241662979126,2
XUZRIU.Co(ii).pdb,O,NE,NE,NE,NE,NE,2.09024715423584,100.0,100.0,100.0,100.0,100.0,2
MUJNEK.Co(ii).pdb,N,N,O,O,O,O,2.092345714569092,2.092345714569092,2.1038880348205566,2.1038880348205566,2.167290210723877,2.167290210723877,2
GIWHUS.Co(ii).pdb,N,O,O,NE,NE,NE,2.1103432178497314,2.163625478744507,2.163625717163086,100.0,100.0,100.0,2
FERZUA.Co(ii).pdb,O,O,O,O,O,O,2.057121753692627,2.0574557781219482,2.058959484100342,2.0597002506256104,2.1824984550476074,2.184152603149414,2
ZISLEV01.Co(ii).pdb,N,N,N,N,NE,NE,1.972109317779541,1.9757940769195557,1.9828836917877197,1.9880648851394653,100.0,100.0,2
IXUJAM.Co(ii).pdb,N,N,N,N,CL,NE,2.0726613998413086,2.0833563804626465,2.140188455581665,2.225703716278076,2.3182528018951416,100.0,2
DEWHOF.Co(ii).pdb,N,N,N,N,CL,CL,2.104295253753662,2.10597562789917,2.1267406940460205,2.127190351486206,2.4393651485443115,2.4397730827331543,2
TEXLOY.Co(ii).pdb,N,N,N,N,NE,NE,1.9587132930755615,1.9667773246765137,1.99384605884552,2.0012388229370117,100.0,100.0,2
XOZTUB.Co(ii).pdb,O,O,O,O,O,O,2.0371885299682617,2.0371885299682617,2.0503156185150146,2.0503156185150146,2.1746633052825928,2.1746633052825928,2
ADICUP.Co(ii).pdb,O,O,O,N,N,N,1.9121698141098022,1.918005347251892,1.920607089996338,1.9360408782958984,1.940727710723877,1.9409198760986328,2
DOHZIK01.Co(ii).pdb,N,N,N,N,NE,NE,2.136331796646118,2.1366384029388428,2.150686025619507,2.1755828857421875,100.0,100.0,2
PIXWOJ.Co(ii).pdb,O,N,N,O,O,NE,2.104144811630249,2.127999782562256,2.136000156402588,2.140043020248413,2.1406075954437256,100.0,2
FIWTUA.Co(ii).pdb,O,O,O,O,O,O,2.065462350845337,2.066354513168335,2.06782603263855,2.0684006214141846,2.101442337036133,2.1015408039093018,2
CEZKAW.Co(ii).pdb,O,N,N,O,O,NE,1.9708406925201416,1.9927304983139038,1.998469591140747,2.010165214538574,2.169585704803467,100.0,2
ZICXOY.Co(ii).pdb,O,O,O,O,N,N,1.8990826606750488,1.9008044004440308,1.9233661890029907,1.9354197978973389,1.936482310295105,1.96616530418396,2
AGUCOX.Co(ii).pdb,O,O,N,N,O,O,2.0057408809661865,2.02419114112854,2.0438809394836426,2.0587313175201416,2.1267120838165283,2.153752565383911,2
QADJEK.Co(ii).pdb,O,N,N,O,N,NE,2.01223087310791,2.0200679302215576,2.048109292984009,2.049084186553955,2.357980966567993,100.0,2
SALVIO.Co(ii).pdb,O,N,N,O,N,N,2.106555461883545,2.120067596435547,2.1256699562072754,2.1405961513519287,2.236401081085205,2.2387185096740723,2
SOJQUF.Co(ii).pdb,N,N,N,N,NE,NE,2.1184096336364746,2.1184098720550537,2.1730782985687256,2.173078775405884,100.0,100.0,2
WITDIP.Co(ii).pdb,O,O,N,N,O,O,2.0879898071289062,2.088240146636963,2.106477737426758,2.1073856353759766,2.1417644023895264,2.142125368118286,2
GABLUU.Co(ii).pdb,N,N,N,N,B,NE,2.059964895248413,2.0779507160186768,2.078239917755127,2.1078341007232666,2.4242351055145264,100.0,2
LUQSAR.Co(ii).pdb,N,N,O,O,O,O,2.058995485305786,2.0633420944213867,2.0744218826293945,2.0744221210479736,2.153557538986206,2.1795942783355713,2
MUXWOR.Co(ii).pdb,N,N,N,N,NE,NE,1.963820457458496,1.9676507711410522,1.9679604768753052,1.974579095840454,100.0,100.0,2
JOKYAK.Co(ii).pdb,O,N,O,N,N,N,1.903214693069458,1.905076503753662,1.9161171913146973,1.9238258600234985,1.9392372369766235,1.945613980293274,2
XECVIM.Co(ii).pdb,N,N,CL,CL,NE,NE,2.0123679637908936,2.0249452590942383,2.2450990676879883,2.2524216175079346,100.0,100.0,2
IQAKUH.Co(ii).pdb,O,N,N,N,N,O,2.0602762699127197,2.1079819202423096,2.125598192214966,2.1314332485198975,2.1383213996887207,2.174645185470581,2
KACZIY01.Co(ii).pdb,N,N,CL,CL,NE,NE,2.048820734024048,2.090369701385498,2.215477466583252,2.2237489223480225,100.0,100.0,2
FEQLET.Co(ii).pdb,N,N,N,B,B,NE,2.058333158493042,2.180237293243408,2.18924617767334,2.397186756134033,2.469302177429199,100.0,2
WAPQOX.Co(ii).pdb,O,O,N,N,NE,NE,1.902683973312378,1.9030357599258423,2.0041568279266357,2.0041568279266357,100.0,100.0,2
ATUNUY.Co(ii).pdb,O,O,O,O,N,N,2.072652816772461,2.0899715423583984,2.1212961673736572,2.134831666946411,2.1375269889831543,2.1396799087524414,2
JIZZID.Co(ii).pdb,N,N,O,NE,NE,NE,1.9220784902572632,1.9250003099441528,2.0556743144989014,100.0,100.0,100.0,2
JUHHOJ.Co(ii).pdb,S,S,NE,NE,NE,NE,2.3250982761383057,2.325098991394043,100.0,100.0,100.0,100.0,2
BUSALC.Co(ii).pdb,O,O,N,N,NE,NE,1.844101071357727,1.851257085800171,1.8526052236557007,1.8802303075790405,100.0,100.0,2
IZODIN.Co(ii).pdb,O,O,N,N,N,NE,1.961503267288208,1.9715893268585205,2.1170589923858643,2.118446111679077,2.2093160152435303,100.0,2
FOHJOC.Co(ii).pdb,O,N,O,O,O,N,2.0601258277893066,2.1230406761169434,2.1348118782043457,2.1364634037017822,2.1452248096466064,2.149426221847534,2
COCBPS.Co(ii).pdb,O,O,N,N,N,NE,1.9974919557571411,2.038006067276001,2.0807790756225586,2.103126049041748,2.2015910148620605,100.0,2
EPEDEJ.Co(ii).pdb,NE,NE,NE,NE,NE,NE,100.0,100.0,100.0,100.0,100.0,100.0,2
XICSEI.Co(ii).pdb,O,O,O,O,N,N,2.033506393432617,2.0407259464263916,2.0443778038024902,2.0498247146606445,2.159813404083252,2.1971635818481445,2
AZEQEC.Co(ii).pdb,O,N,O,N,N,O,2.081068992614746,2.0855515003204346,2.090437889099121,2.098482847213745,2.0999550819396973,2.10225510597229,2
BICHUS.Co(ii).pdb,O,O,N,N,N,N,2.050183057785034,2.051708936691284,2.125288963317871,2.1333887577056885,2.139084577560425,2.159403085708618,2
RUPTIG.Co(ii).pdb,N,N,O,O,O,O,2.089816093444824,2.0898780822753906,2.114839553833008,2.115751028060913,2.1229209899902344,2.1233043670654297,2
NEVBEX01.Co(ii).pdb,O,N,N,NE,NE,NE,2.0735843181610107,2.151812791824341,2.1525771617889404,100.0,100.0,100.0,2
ENACCO01.Co(ii).pdb,O,O,O,N,N,O,2.0734148025512695,2.07774019241333,2.1230781078338623,2.2292535305023193,2.2562201023101807,2.2705612182617188,2
POJNIM.Co(ii).pdb,O,O,O,NE,NE,NE,1.990342617034912,1.9915529489517212,1.9956868886947632,100.0,100.0,100.0,2
COKZEK.Co(ii).pdb,O,O,O,O,O,NE,2.028202533721924,2.085550308227539,2.106977701187134,2.1076138019561768,2.141817092895508,100.0,2
ICOJIX.Co(ii).pdb,O,O,O,N,O,O,2.015962600708008,2.046154022216797,2.0469613075256348,2.0611660480499268,2.200392007827759,2.4227957725524902,2
XOGBAW.Co(ii).pdb,O,O,O,O,NE,NE,2.0936715602874756,2.0936715602874756,2.132484197616577,2.132484197616577,100.0,100.0,2
VUCPOA.Co(ii).pdb,N,N,C,NE,NE,NE,1.9301693439483643,1.9597746133804321,2.058583974838257,100.0,100.0,100.0,2
PETLUY.Co(ii).pdb,O,O,N,N,N,N,2.0478498935699463,2.0478501319885254,2.2063558101654053,2.2063918113708496,2.217349052429199,2.217349052429199,2
UGEXUA.Co(ii).pdb,N,N,N,N,NE,NE,2.118680238723755,2.1190195083618164,2.1758480072021484,2.2372889518737793,100.0,100.0,2
GANLIS.Co(ii).pdb,O,O,O,O,O,O,2.0130062103271484,2.0429306030273438,2.0444939136505127,2.086632490158081,2.0926148891448975,2.201618194580078,2
IXABIV01.Co(ii).pdb,N,N,N,N,N,N,2.0735015869140625,2.0822629928588867,2.1272103786468506,2.136857509613037,2.143467903137207,2.1720564365386963,2
WALVEM02.Co(ii).pdb,N,N,N,N,N,N,2.0245420932769775,2.0415291786193848,2.1434648036956787,2.146232843399048,2.148500442504883,2.149049758911133,2
YINCAA.Co(ii).pdb,N,CL,CL,P,NE,NE,2.002800941467285,2.2176411151885986,2.225194215774536,2.3983376026153564,100.0,100.0,2
LEPJOH.Co(ii).pdb,N,N,N,N,N,N,2.1537725925445557,2.1537725925445557,2.1631574630737305,2.1637656688690186,2.206138849258423,2.206139087677002,2
HATDAL.Co(ii).pdb,N,N,N,CL,CL,NE,2.0919978618621826,2.120769739151001,2.1433370113372803,2.290743827819824,2.3117008209228516,100.0,2
GOBHIO.Co(ii).pdb,N,O,N,C,N,N,1.8971149921417236,1.9015076160430908,1.9589269161224365,1.9644455909729004,1.9790565967559814,2.095484733581543,2
QUKZAA.Co(ii).pdb,C,N,CL,N,CL,N,1.0137629508972168,2.028113842010498,2.2474849224090576,2.257383108139038,2.2587473392486572,2.2638654708862305,2
FOYSIW.Co(ii).pdb,B,B,B,B,NE,NE,2.403698682785034,2.4041202068328857,2.4073069095611572,2.407991886138916,100.0,100.0,2
EDUSEC.Co(ii).pdb,O,O,O,O,N,N,2.0689918994903564,2.0697388648986816,2.1325933933258057,2.1330413818359375,2.1479485034942627,2.149090528488159,2
FIWWAL.Co(ii).pdb,N,N,S,S,NE,NE,2.036201238632202,2.0904476642608643,2.275479555130005,2.283113479614258,100.0,100.0,2
EBUNAR.Co(ii).pdb,O,O,O,O,O,O,2.0291049480438232,2.0291051864624023,2.0890002250671387,2.0898890495300293,2.1596784591674805,2.1600985527038574,2
OGUVIW.Co(ii).pdb,N,O,N,N,O,N,2.043724536895752,2.0590426921844482,2.0639655590057373,2.0816657543182373,2.0993871688842773,2.1730873584747314,2
YAGBAK.Co(ii).pdb,O,O,N,N,N,N,2.143242835998535,2.1441433429718018,2.145203113555908,2.1461732387542725,2.149622678756714,2.1498923301696777,2
KIRDOH.Co(ii).pdb,O,O,N,N,N,O,2.043222188949585,2.045433282852173,2.1507885456085205,2.2413289546966553,2.2708449363708496,2.315398693084717,2
